Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
1,4768,1764,0,139,0.0291527,0,0,7.5,121181,961,1186,705,3448,93,596,4,30,597,860,83,45
1,4576,1781,0,0,0,0,0,0.9,135489,301,1142,664,3288,68,867,11,14,328,476,40,14
1,4734,1915,0,0,0,0,0,6.8,108494,947,1243,205,1888,179,2169,17,22,459,723,59,46
1,4831,1553,0,11,0.002277,0,0,4.3,128875,545,1386,431,3203,88,1143,8,13,376,435,23,42
1,5956,1995,0,0,0,0,0,0.4,173659,175,1935,442,2887,99,2566,1,2,401,424,35,16
1,3152,1225,0,60,0.0190355,0,0,6.7,121080,481,758,442,2512,37,400,9,15,179,285,21,8
1,3618,1697,0,0,0,1,0,10.2,102500,828,759,322,1663,299,1206,7,9,434,417,230,38
1,2115,656,0,0,0,0,0,0.7,191447,37,682,100,757,78,1135,4,0,141,143,23,0
1,5262,1521,0,0,0,0,0,1.6,164453,463,1756,282,2012,191,2656,7,10,386,379,0,8
0,7081,2324,0,95,0.0134162,0,0,4.3,152043,729,2077,549,5102,201,956,38,33,751,1097,22,75
1,4011,1322,0,12,0.0029918,0,0,2.6,161875,217,1130,492,3323,41,371,3,13,260,364,32,0
1,6595,2491,0,14,0.0021228,0,0,5.8,100592,1216,1699,508,4805,183,682,22,74,829,1189,83,97
0,3634,1237,0,14,0.0038525,0,0,4,125568,392,855,233,2756,47,318,9,27,477,748,41,15
1,6560,2357,0,0,0,0,0,4,116607,754,1636,527,4982,124,406,19,33,996,1378,86,66
1,5850,2256,0,96,0.0164103,0,0,10.6,114000,1463,1279,635,4221,163,578,22,21,845,1299,114,106
1,2220,758,0,0,0,0,0,6.8,104034,334,549,216,1533,46,176,9,11,445,581,12,17
1,6610,2063,0,31,0.0046899,0,1,10.7,70617,2220,1830,402,3535,120,445,21,63,2426,3407,137,116
1,4668,1752,0,27,0.0057841,1,0,3.8,119583,742,1199,652,3578,114,459,4,6,507,785,142,89
1,5660,2054,0,33,0.0058304,1,0,6.6,91932,1226,1402,679,4395,109,413,12,47,684,1228,121,90
1,1509,583,0,0,0,0,0,3.2,123750,306,367,112,1166,36,132,5,5,165,257,11,5
1,3337,1137,0,0,0,0,0,1.8,141818,229,894,259,2880,22,186,8,12,229,348,0,37
1,3138,1073,0,8,0.0025494,0,0,14,85083,1053,933,243,2125,137,203,18,17,638,1061,50,160
1,4617,1757,0,23,0.0049816,0,0,2.3,148333,715,1089,512,3865,68,288,9,16,371,636,86,41
1,6224,2727,0,117,0.0187982,0,0,4.4,104267,1277,1269,1335,5053,114,342,26,33,656,970,221,109
1,3102,1026,0,142,0.0457769,0,0,3.5,103050,291,744,433,2393,41,188,23,18,439,606,6,0
1,3859,1294,0,0,0,0,0,3.1,146811,182,1028,420,2999,67,413,18,13,349,544,40,39
1,4449,1610,0,0,0,0,0,4.1,104787,467,1143,574,3582,78,300,10,38,441,776,30,18
1,38,22,0,0,0,0,0,0,0,0,0,0,26,4,4,0,0,4,4,0,0
1,71,33,0,17,0.2394366,0,0,0,145833,0,2,2,49,3,9,0,3,7,11,0,0
1,540,287,0,47,0.087037,0,0,7.1,106947,71,22,27,318,81,96,1,4,40,58,20,2
0,1175,497,0,24,0.0204255,0,0,15.1,71932,413,256,166,881,0,7,0,240,47,84,7,23
0,3907,1823,0,0,0,0,0,10,75514,665,526,1195,3643,13,23,12,68,148,192,36,112
0,1867,836,0,0,0,0,0,12.8,59688,531,289,427,1726,1,20,1,35,84,149,18,88
0,4672,2018,0,10,0.0021404,0,0,12.7,64392,1533,793,1011,4243,20,32,2,52,323,386,55,207
0,5871,680,1,4160,0.7085676,0,0,5.1,69257,477,506,439,4157,824,77,19,110,684,1710,14,4
0,5073,2064,0,27,0.0053223,0,0,13.6,76736,1145,1141,947,4380,19,88,13,114,459,628,86,123
0,3946,1550,0,0,0,0,0,17.9,79176,1287,932,598,3458,6,29,14,77,362,530,48,140
0,5020,2270,0,147,0.0292829,1,1,11.8,54764,1683,856,1339,4503,24,83,6,99,305,472,174,250
0,4740,2016,0,195,0.0411392,0,0,18,72115,1631,788,1255,4337,43,41,10,65,244,407,57,247
0,2995,1312,0,12,0.0040067,0,0,8.2,64635,539,562,654,2702,12,26,0,58,197,282,44,109
1,3900,1609,0,16,0.0041026,0,1,15.4,55938,1948,845,725,3316,51,112,7,45,369,476,114,156
1,3902,1336,0,0,0,0,0,5.4,86250,712,1174,243,3255,49,141,9,39,409,643,21,68
1,5636,2333,0,32,0.0056778,1,1,16.8,46811,2433,1430,769,4356,111,322,6,71,770,951,390,209
1,4052,1733,0,0,0,0,1,20.7,51087,1781,886,365,3454,60,118,22,72,326,544,89,173
1,3723,1780,0,1,0.0002686,0,1,21.2,45304,1641,775,778,3024,116,82,4,92,405,552,168,236
1,4410,1733,0,538,0.1219955,1,1,24.2,48063,2229,923,621,3470,120,159,14,82,565,814,268,277
1,1771,682,0,0,0,0,0,15.4,67813,963,471,127,1467,36,53,2,29,184,352,51,34
1,7030,2907,0,0,0,0,0,9.2,82045,1453,1547,1220,6133,76,189,14,90,528,818,118,106
