GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08
Id,Id2,Geography,Number; OCCUPANCY STATUS - Total housing units,Percent; OCCUPANCY STATUS - Total housing units,Number; OCCUPANCY STATUS - Total housing units - Occupied housing units,Percent; OCCUPANCY STATUS - Total housing units - Occupied housing units,Number; TENURE - Occupied housing units,Percent; TENURE - Occupied housing units,Number; TENURE - Occupied housing units - Owner occupied,Percent; TENURE - Occupied housing units - Owner occupied,Number; TENURE - Occupied housing units - Owner occupied - Owned with a mortgage or loan,Percent; TENURE - Occupied housing units - Owner occupied - Owned with a mortgage or loan,Number; TENURE - Occupied housing units - Owner occupied - Owned free and clear,Percent; TENURE - Occupied housing units - Owner occupied - Owned free and clear,Number; TENURE - Occupied housing units - Renter occupied,Percent; TENURE - Occupied housing units - Renter occupied
1400000US06075025500,06075025500,"Census Tract 255, San Francisco County, California",2586,100.0,2469,95.5,2469,100.0,1526,61.8,1154,46.7,372,15.1,943,38.2
1400000US06075025600,06075025600,"Census Tract 256, San Francisco County, California",1629,100.0,1558,95.6,1558,100.0,1120,71.9,776,49.8,344,22.1,438,28.1
1400000US06075025701,06075025701,"Census Tract 257.01, San Francisco County, California",1404,100.0,1331,94.8,1331,100.0,867,65.1,596,44.8,271,20.4,464,34.9
1400000US06075025702,06075025702,"Census Tract 257.02, San Francisco County, California",1291,100.0,1229,95.2,1229,100.0,641,52.2,417,33.9,224,18.2,588,47.8
1400000US06075025800,06075025800,"Census Tract 258, San Francisco County, California",613,100.0,572,93.3,572,100.0,328,57.3,237,41.4,91,15.9,244,42.7
1400000US06075025900,06075025900,"Census Tract 259, San Francisco County, California",1410,100.0,1327,94.1,1327,100.0,995,75.0,685,51.6,310,23.4,332,25.0
1400000US06075026001,06075026001,"Census Tract 260.01, San Francisco County, California",1579,100.0,1519,96.2,1519,100.0,766,50.4,577,38.0,189,12.4,753,49.6
1400000US06075026002,06075026002,"Census Tract 260.02, San Francisco County, California",984,100.0,955,97.1,955,100.0,719,75.3,513,53.7,206,21.6,236,24.7
1400000US06075026003,06075026003,"Census Tract 260.03, San Francisco County, California",1369,100.0,1314,96.0,1314,100.0,875,66.6,633,48.2,242,18.4,439,33.4
1400000US06075026004,06075026004,"Census Tract 260.04, San Francisco County, California",1205,100.0,1144,94.9,1144,100.0,678,59.3,522,45.6,156,13.6,466,40.7
1400000US06075026100,06075026100,"Census Tract 261, San Francisco County, California",1953,100.0,1877,96.1,1877,100.0,1084,57.8,760,40.5,324,17.3,793,42.2
1400000US06075026200,06075026200,"Census Tract 262, San Francisco County, California",2010,100.0,1907,94.9,1907,100.0,1188,62.3,891,46.7,297,15.6,719,37.7
1400000US06075026301,06075026301,"Census Tract 263.01, San Francisco County, California",1343,100.0,1273,94.8,1273,100.0,760,59.7,547,43.0,213,16.7,513,40.3
1400000US06075026302,06075026302,"Census Tract 263.02, San Francisco County, California",1523,100.0,1448,95.1,1448,100.0,934,64.5,683,47.2,251,17.3,514,35.5
1400000US06075026303,06075026303,"Census Tract 263.03, San Francisco County, California",1299,100.0,1233,94.9,1233,100.0,792,64.2,560,45.4,232,18.8,441,35.8
1400000US06075026401,06075026401,"Census Tract 264.01, San Francisco County, California",1062,100.0,1016,95.7,1016,100.0,664,65.4,440,43.3,224,22.0,352,34.6
1400000US06075026402,06075026402,"Census Tract 264.02, San Francisco County, California",1168,100.0,1108,94.9,1108,100.0,778,70.2,577,52.1,201,18.1,330,29.8
1400000US06075026403,06075026403,"Census Tract 264.03, San Francisco County, California",1120,100.0,1062,94.8,1062,100.0,638,60.1,387,36.4,251,23.6,424,39.9
